KAM,ACCX_F4,ACCY_F4,ACCZ_F4,GYRX_F4,GYRY_F4,GYRZ_F4,ACCX_ED,ACCY_ED,ACCZ_ED,GYRX_ED,GYRY_ED,GYRZ_ED,ACCX_C0,ACCY_C0,ACCZ_C0,GYRX_C0,GYRY_C0,GYRZ_C0,ACCX_46,ACCY_46,ACCZ_46,GYRX_46,GYRY_46,GYRZ_46,LFET_RECTUS_FEM,LEFT_VLO,LEFT_VMO,RIGHT_RECTUS_FEM,RIGHT_VLO,RIGHT_VMO
0.27152727,-0.031,0.007,0.987,8.484,1.709,4.883,0.04,0.486,1.001,42.053,-15.686,12.512,0.597,0.846,0.479,-205.688,23.987,-63.049,0.108,0,1.698,-90.637,32.898,11.292,0.104072378,-0.513891034,-0.269677087,0.059531137,0.571695872,0.037686066
0.278022811,-0.016,0.019,0.98,8.301,0.977,5.432,0.031,0.485,1.037,43.762,-13.184,13.306,0.376,0.887,0.209,-163.818,94.177,-51.514,0.105,-0.13,1.53,-127.502,52.979,21.179,0.497970391,0.458326898,0.290802343,0.090839245,-0.339887802,0.029599545
0.287640858,-0.011,0.032,0.984,6.104,2.93,4.456,0.068,0.48,1.03,43.579,-15.503,13.733,0.188,0.704,-0.101,-100.464,92.712,-29.175,0.108,0,1.698,-90.637,32.898,11.292,-0.251208908,-0.955812225,-0.346105152,0.153455462,0.299269411,-0.178856753
0.297375327,-0.019,0.021,0.992,6.531,3.723,3.845,0.068,0.469,1.022,41.26,-15.93,13.916,0.115,0.847,-0.165,-34.546,23.987,-12.573,0.035,0.021,1.814,-60.364,23.071,2.686,0.019113855,0.414135261,0.375725197,0.108965305,-0.759008762,0.134726082
0.296293402,-0.037,0.012,0.995,6.958,5.066,3.54,0.038,0.457,1.004,43.579,-10.254,12.39,0.188,0.704,-0.101,-100.464,92.712,-29.175,-0.012,0.088,1.868,-28.748,15.442,-4.7,0.150413514,-1,-0.397058864,0.090839245,-0.067460312,-0.035992334
0.312367165,-0.043,0.016,0.991,8.606,3.479,3.418,0.067,0.453,0.981,43.823,-12.756,13.428,0.115,0.847,-0.165,-34.546,23.987,-12.573,0.035,0.021,1.814,-60.364,23.071,2.686,-0.096738707,0.531981234,0.214374278,-0.008028173,-0.779961685,-0.111467803
0.321260445,-0.036,0.021,0.986,8.911,3.906,3.601,0.04,0.47,0.99,44.067,-15.137,14.343,0.155,0.64,-0.024,1.77,-37.17,23.499,-0.012,0.088,1.868,-28.748,15.442,-4.7,-0.2666557,-0.852696154,-0.566901791,-0.031097271,0.372613914,-0.012630894
0.325897287,-0.033,0.034,0.979,8.972,3.235,3.601,0.018,0.479,1.028,45.837,-14.099,14.648,0.554,-1.047,1.063,-147.583,73.425,109.863,0.032,-0.269,1.673,-4.456,14.099,-8.118,-0.436573453,0.635092478,0.120960808,-0.087122464,-0.015070278,-0.02880423
0.337048479,-0.017,0.043,0.964,5.92,4.211,3.113,0.08,0.471,1.103,45.593,-20.203,16.113,0.155,0.64,-0.024,1.77,-37.17,23.499,-0.108,-0.347,1.216,47.546,-26.306,-17.883,-0.583320258,-0.646468839,-0.303646507,-0.055814355,0.425004807,-0.135727955
0.339491837,0.026,0.02,0.958,4.456,0.732,3.845,0.104,0.432,1.146,46.936,-25.391,17.944,0.554,-1.047,1.063,-147.583,73.425,109.863,0.032,-0.269,1.673,-4.456,14.099,-8.118,0.629269898,0.635092478,0.443660698,-0.082178993,-0.203673886,-0.004544226
